School_Year,Busbreakdown_ID,Run_Type,Bus_No,Route_Number,Reason,Schools_Serviced,Occurred_On,Created_On,Boro,Bus_Company_Name,How_Long_Delayed,Number_Of_Students_On_The_Bus,Has_Contractor_Notified_Schools,Has_Contractor_Notified_Parents,Have_You_Alerted_OPT,Informed_On,Incident_Number,Last_Updated_On,Breakdown_or_Running_Late,School_Age_or_PreK
2015-2016,1228861,Special Ed AM Run,10504,X258,Heavy Traffic,07049,11/12/15 6:50,11/12/15 7:13,Bronx,"BORO TRANSIT, INC.",20-30 MIN,0,Yes,Yes,No,11/12/15 7:13,,11/12/15 7:13,Running Late,School-Age
2015-2016,1228862,Special Ed AM Run,4436D,P565,Heavy Traffic,28402,11/12/15 7:12,11/12/15 7:14,Queens,LOGAN BUS COMPANY INC.,30MINS,0,Yes,Yes,No,11/12/15 7:14,,11/12/15 7:14,Running Late,School-Age
2015-2016,1228863,Special Ed AM Run,610,P870,Heavy Traffic,30145,11/12/15 7:15,11/12/15 7:15,Queens,HAPPY CHILD TRANS LLC (B2,60 min,2,Yes,Yes,No,11/12/15 7:15,,11/12/15 7:15,Running Late,School-Age
2015-2016,1228864,Special Ed AM Run,1450,M967,Heavy Traffic,02347,11/12/15 7:14,11/12/15 7:15,Manhattan,LEESEL TRANSP CORP (B2192,20,3,Yes,Yes,No,11/12/15 7:15,,11/12/15 7:15,Running Late,School-Age
2015-2016,1228865,Special Ed AM Run,NI0319,N830,Mechanical Problem,75907,11/12/15 7:10,11/12/15 7:15,Nassau County,"NEW DAWN TRANSIT, LLC (B2",15,0,Yes,Yes,No,11/12/15 7:15,,11/12/15 7:15,Running Late,School-Age
2015-2016,1228866,Special Ed AM Run,824D,P576,Heavy Traffic,25154,11/12/15 7:14,11/12/15 7:15,Queens,LOGAN BUS COMPANY INC.,30MINS,0,Yes,Yes,No,11/12/15 7:15,,11/12/15 7:15,Running Late,School-Age
2015-2016,1228867,General Ed AM Run,2223,X2326,Other,10654,11/12/15 7:08,11/12/15 7:16,Bronx,"GRANDPA`S BUS CO., INC.",15,0,Yes,Yes,No,11/12/15 7:16,,11/12/15 8:12,Running Late,School-Age
2015-2016,1228868,Special Ed AM Run,1449,M985,Heavy Traffic,03075,11/12/15 7:15,11/12/15 7:16,Manhattan,LEESEL TRANSP CORP (B2192,20,4,Yes,Yes,No,11/12/15 7:16,,11/12/15 7:16,Running Late,School-Age
2015-2016,1228870,Special Ed AM Run,1425,M990,Heavy Traffic,02035,11/12/15 7:16,11/12/15 7:17,Manhattan,LEESEL TRANSP CORP (B2192,15,3,Yes,Yes,No,11/12/15 7:17,,11/12/15 7:17,Running Late,School-Age
2017-2018,1423559,Special Ed AM Run,36263,K427,Other,"2,304,123,284,233,960,000,000,000",3/23/18 6:40,3/23/18 6:47,Brooklyn,"BORO TRANSIT, INC.",31-45 Min,0,Yes,Yes,No,3/23/18 6:47,,1/1/00 0:00,Running Late,School-Age
2015-2016,1225821,Special Ed AM Run,14102,M705,Heavy Traffic,03279,10/29/15 6:36,10/29/15 6:37,Manhattan,LEESEL TRANSP CORP (B2192,20,4,Yes,Yes,No,10/29/15 6:37,,10/29/15 6:37,Running Late,School-Age
2015-2016,1228871,Special Ed AM Run,54065,M123,Mechanical Problem,02051,11/12/15 7:00,11/12/15 7:17,Manhattan,CONSOLIDATED BUS TRANS. I,1 HOUR,0,Yes,No,Yes,11/12/15 7:17,,11/12/15 7:17,Running Late,School-Age
2015-2016,1228872,General Ed AM Run,2360,X2162,Mechanical Problem,09486,11/12/15 7:10,11/12/15 7:17,Bronx,"GRANDPA`S BUS CO., INC.",,8,Yes,Yes,No,11/12/15 7:17,,11/12/15 7:17,Breakdown,School-Age
2015-2016,1228875,Special Ed AM Run,508,L984,Other,20519,11/12/15 7:17,11/12/15 7:18,Brooklyn,HAPPY CHILD TRANS LLC (B2,60 min,2,Yes,Yes,No,11/12/15 7:18,,11/12/15 7:18,Running Late,School-Age
2015-2016,1228876,Special Ed AM Run,7:18 AM,M999,Heavy Traffic,06005,11/12/15 7:18,11/12/15 7:18,Manhattan,LEESEL TRANSP CORP (B2192,15,3,Yes,Yes,No,11/12/15 7:18,,11/12/15 7:18,Running Late,School-Age
2015-2016,1228877,Special Ed AM Run,10475,X015,Heavy Traffic,09163,11/12/15 6:50,11/12/15 7:18,Bronx,"BORO TRANSIT, INC.",20-30 MIN,0,Yes,Yes,No,11/12/15 7:18,,11/12/15 7:18,Running Late,School-Age
2015-2016,1228878,General Ed AM Run,2359,X2052,Other,10602,11/12/15 7:18,11/12/15 7:19,Bronx,"GRANDPA`S BUS CO., INC.",,0,Yes,Yes,No,11/12/15 7:19,,11/12/15 7:30,Breakdown,School-Age
2015-2016,1228880,Special Ed AM Run,9982,M053,Other,06173,11/12/15 7:19,11/12/15 7:19,Manhattan,HAPPY CHILD TRANS LLC (B2,60 min,2,Yes,Yes,No,11/12/15 7:19,,11/12/15 8:20,Running Late,School-Age
2015-2016,1228881,Special Ed AM Run,10271,X199,Mechanical Problem,12486,11/12/15 7:05,11/12/15 7:19,Bronx,CONSOLIDATED BUS TRANS. I,1 HOUR,0,Yes,No,Yes,11/12/15 7:19,,11/12/15 7:19,Running Late,School-Age
2015-2016,1228882,General Ed AM Run,26288,K3365,Other,19328,11/12/15 7:18,11/12/15 7:19,Brooklyn,"BORO TRANSIT, INC.",,0,Yes,No,No,11/12/15 7:19,,11/12/15 7:19,Breakdown,School-Age
2015-2016,1228885,Special Ed AM Run,568,M689,Heavy Traffic,02611,11/12/15 7:20,11/12/15 7:21,Manhattan,HAPPY CHILD TRANS LLC (B2,45 Min,3,Yes,Yes,No,11/12/15 7:21,,11/12/15 7:21,Running Late,School-Age
2015-2016,1228886,Special Ed AM Run,2625,M789,Heavy Traffic,02111,11/12/15 7:20,11/12/15 7:21,Manhattan,"RELIANT TRANS, INC. (B232",,5,Yes,Yes,Yes,11/12/15 7:21,,11/12/15 7:21,Running Late,School-Age
2015-2016,1228889,Special Ed AM Run,554,P856,Heavy Traffic,26046,11/12/15 7:21,11/12/15 7:22,Queens,HAPPY CHILD TRANS LLC (B2,45 Min,2,Yes,Yes,No,11/12/15 7:22,,11/12/15 7:22,Running Late,School-Age
2015-2016,1228890,Special Ed AM Run,48180,N589,Other,75907,11/12/15 7:00,11/12/15 7:23,Nassau County,"BORO TRANSIT, INC.",30 mins,1,Yes,Yes,No,11/12/15 7:23,,11/12/15 7:23,Running Late,School-Age
2015-2016,1228893,Special Ed AM Run,2021,M983,Heavy Traffic,03001,11/12/15 7:18,11/12/15 7:25,Manhattan,LEESEL TRANSP CORP (B2192,15,3,Yes,Yes,Yes,11/12/15 7:25,,11/12/15 7:25,Running Late,School-Age
2015-2016,1228896,Special Ed AM Run,4102,K133,Heavy Traffic,16026,11/12/15 7:24,11/12/15 7:26,Brooklyn,L & M BUS CORP. (B2192),15 mins,19,Yes,Yes,No,11/12/15 7:26,,11/12/15 7:41,Running Late,School-Age
2015-2016,1228897,Special Ed AM Run,5502D,X682,Other,09350,11/12/15 7:22,11/12/15 7:26,Bronx,LITTLE RICHIE BUS SERVICE,25 MINS,1,Yes,Yes,No,11/12/15 7:26,,11/12/15 7:26,Running Late,School-Age
2015-2016,1228898,Special Ed AM Run,1469,M425,Heavy Traffic,04155,11/12/15 7:26,11/12/15 7:26,Manhattan,LEESEL TRANSP CORP (B2192,20,3,Yes,Yes,No,11/12/15 7:26,,11/12/15 7:26,Running Late,School-Age
2015-2016,1228899,Special Ed AM Run,4130,Q115,Heavy Traffic,24061,11/12/15 7:26,11/12/15 7:27,Queens,L & M BUS CORP. (B2192),30 MINS,18,Yes,Yes,No,11/12/15 7:27,,11/12/15 7:44,Running Late,School-Age
2015-2016,1228900,General Ed AM Run,1246,Q2573,Mechanical Problem,25120,11/12/15 7:00,11/12/15 7:29,Queens,LORISSA BUS SERVICE INC.,,0,Yes,No,No,11/12/15 7:29,,11/12/15 7:29,Breakdown,School-Age
2017-2018,1423629,Special Ed AM Run,TNO 327,L650,Mechanical Problem,"23,137,231,552,352,200,000",3/23/18 6:35,3/23/18 7:14,,TWENTY FIRST AV TRANSP (B2192),,0,Yes,No,Yes,3/23/18 7:14,,1/1/00 0:00,Breakdown,School-Age
2015-2016,1228901,Special Ed AM Run,19340,M147,Mechanical Problem,02347,11/12/15 7:05,11/12/15 7:29,Manhattan,"BORO TRANSIT, INC.",1 HOUR,0,Yes,No,Yes,11/12/15 7:29,,11/12/15 7:29,Running Late,School-Age
2015-2016,1228902,Special Ed AM Run,12568,P640,Heavy Traffic,24071,11/12/15 7:20,11/12/15 7:30,,ACME BUS CORP. (B2321),25Min,6,Yes,Yes,Yes,11/12/15 7:30,,11/12/15 7:30,Running Late,School-Age
2015-2016,1228903,Special Ed AM Run,4529,K602,Heavy Traffic,17005,11/12/15 7:28,11/12/15 7:30,Brooklyn,"RELIANT TRANS, INC. (B232",,0,Yes,Yes,Yes,11/12/15 7:30,,11/12/15 7:30,Running Late,School-Age
