School_Year,Busbreakdown_ID,Run_Type,Bus_No,Route_Number,Reason,Schools_Serviced,Occurred_On,Created_On,Boro,Bus_Company_Name,How_Long_Delayed,Number_Of_Students_On_The_Bus,Has_Contractor_Notified_Schools,Has_Contractor_Notified_Parents,Have_You_Alerted_OPT,Informed_On,Incident_Number,Last_Updated_On,Breakdown_or_Running_Late,School_Age_or_PreK
2015-2016,1228969,Pre-K/EI,12,4,Heavy Traffic,S112A,11/12/15 7:50,11/12/15 7:55,Bronx,"G.V.C., LTD.",20 MINS,8,Yes,Yes,No,11/12/15 7:55,,11/12/15 7:55,Running Late,Pre-K
2015-2016,1228972,Pre-K/EI,12,4,Heavy Traffic,S176,11/12/15 7:50,11/12/15 7:56,Bronx,"G.V.C., LTD.",15 MINS,2,Yes,Yes,No,11/12/15 7:56,,11/12/15 7:56,Running Late,Pre-K
2015-2016,1228973,Pre-K/EI,116,5,Heavy Traffic,C178,11/12/15 7:54,11/12/15 7:56,Bronx,"G.V.C., LTD.",20MIN,11,Yes,Yes,Yes,11/12/15 7:56,,11/12/15 7:56,Running Late,Pre-K
2015-2016,1228974,General Ed AM Run,2277,Q3046,Other,30227,11/12/15 7:53,11/12/15 7:56,Queens,PIONEER TRANSPORTATION CO,10 mins,8,Yes,No,No,11/12/15 7:56,,11/12/15 7:56,Running Late,School-Age
2015-2016,1228978,Special Ed AM Run,430,K707,Problem Run,16593,11/12/15 7:55,11/12/15 7:57,Brooklyn,Y & M TRANSIT CORP (B2192,?,0,Yes,Yes,No,11/12/15 7:57,,11/12/15 7:57,Running Late,School-Age
2015-2016,1228979,Special Ed AM Run,1380,M633,Heavy Traffic,02622,11/12/15 7:57,11/12/15 7:58,Manhattan,LEESEL TRANSP CORP (B2192,20,7,Yes,Yes,No,11/12/15 7:58,,11/12/15 7:58,Running Late,School-Age
2015-2016,1228980,Special Ed AM Run,90,W782,Heavy Traffic,75908,11/12/15 7:57,11/12/15 7:58,Westchester,MAR-CAN TRANSPORT CO. INC,20 mins,9,No,Yes,No,11/12/15 7:58,,11/12/15 7:58,Running Late,School-Age
2015-2016,1228981,Special Ed AM Run,1470D,X735,Heavy Traffic,11012,11/12/15 7:50,11/12/15 7:58,Bronx,LITTLE LISA BUS CO. INC.,10 min,6,Yes,Yes,No,11/12/15 7:58,,11/12/15 7:58,Running Late,School-Age
2015-2016,1228982,Special Ed AM Run,NI-3118,K115,Heavy Traffic,17382,11/12/15 7:57,11/12/15 7:58,Brooklyn,"NEW DAWN TRANSIT, LLC (B2",30 mins,8,Yes,Yes,No,11/12/15 7:58,,11/12/15 7:59,Running Late,School-Age
2015-2016,1228984,Special Ed AM Run,1310,M584,Heavy Traffic,02986,11/12/15 7:58,11/12/15 7:59,Manhattan,LEESEL TRANSP CORP (B2192,20,5,Yes,Yes,No,11/12/15 7:59,,11/12/15 7:59,Running Late,School-Age
2017-2018,1423675,Special Ed AM Run,21504,K297,Heavy Traffic,"140,371,407,114,300",3/23/18 7:30,3/23/18 7:33,Brooklyn,ALLIED TRANSIT CORP.,16-30 Min,7,Yes,Yes,No,3/23/18 7:33,,1/1/00 0:00,Running Late,School-Age
2017-2018,1423677,Special Ed AM Run,41902,K047,Heavy Traffic,"20,160,202,202,047,000,000",3/23/18 7:30,3/23/18 7:36,Brooklyn,EMPIRE CHARTER SERVICE INC,16-30 Min,7,Yes,Yes,No,3/23/18 7:36,,1/1/00 0:00,Running Late,School-Age
2017-2018,1423722,Special Ed AM Run,50,X506,Heavy Traffic,"70,130,722,407,343",3/23/18 8:08,3/23/18 8:11,Bronx,PIONEER TRANSPORTATION CORP,31-45 Min,3,Yes,No,No,3/23/18 8:11,,1/1/00 0:00,Running Late,School-Age
2017-2018,1423730,Special Ed AM Run,1491,M985,Heavy Traffic,"20,560,230,802,551",3/23/18 8:24,3/23/18 8:24,Manhattan,LEESEL TRANSPORTATION CORP (B2192),0-15 Min,2,Yes,Yes,No,3/23/18 8:24,,3/23/18 8:24,Running Late,School-Age
2015-2016,1215068,Special Ed AM Run,1705,M152,Heavy Traffic,02158,9/16/15 8:25,9/16/15 8:35,Manhattan,PHILLIP BUS CORP (B2192),30min,2,Yes,No,No,9/16/15 8:35,,9/16/15 8:35,Running Late,School-Age
2015-2016,1215737,Special Ed AM Run,2802,Q165,Other,30145,9/18/15 7:05,9/18/15 7:08,Queens,ALLIED TRANSIT CORP.,20mins,5,Yes,Yes,No,9/18/15 7:08,,9/18/15 7:08,Running Late,School-Age
2015-2016,1228985,Special Ed AM Run,GC0099,M133,Heavy Traffic,02414,11/12/15 7:58,11/12/15 7:59,Manhattan,G.V.C. LTD. (B2192),25 mins,5,Yes,No,No,11/12/15 7:59,,11/12/15 7:59,Running Late,School-Age
2015-2016,1228993,Special Ed AM Run,1337,M624,Heavy Traffic,04839,11/12/15 8:01,11/12/15 8:01,Manhattan,LEESEL TRANSP CORP (B2192,20,5,Yes,Yes,No,11/12/15 8:01,,11/12/15 8:01,Running Late,School-Age
2015-2016,1228996,Pre-K/EI,9,1,Heavy Traffic,C459,11/12/15 8:02,11/12/15 8:02,Bronx,"G.V.C., LTD.",15 MINS,6,Yes,Yes,No,11/12/15 8:02,,11/12/15 8:02,Running Late,Pre-K
2015-2016,1228997,Special Ed AM Run,1714,M035,Heavy Traffic,03480,11/12/15 8:00,11/12/15 8:02,Manhattan,PHILLIP BUS CORP (B2192),30min,1,Yes,No,No,11/12/15 8:02,,11/12/15 8:02,Running Late,School-Age
2015-2016,1228998,Special Ed AM Run,2079,L650,Heavy Traffic,15789,11/12/15 8:00,11/12/15 8:02,Bronx,"RELIANT TRANS, INC. (B232",,6,Yes,No,Yes,11/12/15 8:02,,11/12/15 8:02,Running Late,School-Age
2015-2016,1229000,Special Ed AM Run,5525D,Q343,Heavy Traffic,24009,11/12/15 8:01,11/12/15 8:03,Queens,LORINDA ENT. LTD.,30mins,0,Yes,Yes,No,11/12/15 8:03,,11/12/15 8:03,Running Late,School-Age
2015-2016,1229001,General Ed AM Run,19578,M1127,Other,02706,11/12/15 8:00,11/12/15 8:03,Manhattan,SNT BUS INC,30 mins,0,Yes,No,No,11/12/15 8:03,,11/12/15 8:03,Running Late,School-Age
2015-2016,1229002,Special Ed AM Run,30142,L349,Other,16455,11/12/15 7:50,11/12/15 8:03,,"BORO TRANSIT, INC.",20 min,0,Yes,Yes,No,11/12/15 8:03,,11/12/15 8:03,Running Late,School-Age
2015-2016,1229003,Special Ed AM Run,823,N951,Heavy Traffic,75627,11/12/15 8:03,11/12/15 8:04,Nassau County,LOGAN BUS COMPANY INC.,30mins,0,Yes,Yes,No,11/12/15 8:04,,11/12/15 8:04,Running Late,School-Age
2015-2016,1229004,Special Ed AM Run,2649,M372,Heavy Traffic,02799,11/12/15 8:02,11/12/15 8:04,Manhattan,"RELIANT TRANS, INC. (B232",,4,Yes,Yes,Yes,11/12/15 8:04,,11/12/15 8:04,Running Late,School-Age
2015-2016,1229005,Special Ed AM Run,111,W644,Heavy Traffic,75407,11/12/15 8:10,11/12/15 8:04,Westchester,MAR-CAN TRANSPORT CO. INC,15/20MINS,5,Yes,No,No,11/12/15 8:04,,11/12/15 8:06,Running Late,School-Age
2015-2016,1229006,Special Ed AM Run,70,K377,Mechanical Problem,"2,006,920,865",11/12/15 8:02,11/12/15 8:05,Brooklyn,CAREFUL BUS,60 MIN,3,Yes,Yes,No,11/12/15 8:05,,11/12/15 8:05,Running Late,School-Age
2015-2016,1229007,Special Ed AM Run,42,W701,Heavy Traffic,75420,11/12/15 8:02,11/12/15 8:05,Westchester,MAR-CAN TRANSPORT CO. INC,20 mins,5,Yes,Yes,No,11/12/15 8:05,,11/12/15 8:20,Running Late,School-Age
2015-2016,1229008,Special Ed AM Run,6259,P580,Heavy Traffic,"2,580,225,927",11/12/15 8:03,11/12/15 8:06,Queens,JOFAZ TRANSPORTATION INC.,30min,0,Yes,Yes,No,11/12/15 8:06,,11/12/15 8:06,Running Late,School-Age
2015-2016,1229009,Special Ed AM Run,1522,Q821,Other,27314,11/12/15 6:10,11/12/15 8:06,Queens,FIRST STEPS TRANSP INC. (,1 HOUR,0,Yes,Yes,Yes,11/12/15 8:06,,11/12/15 8:06,Running Late,School-Age
2015-2016,1229013,General Ed AM Run,352,X2320,Other,07006,11/12/15 7:57,11/12/15 8:09,Bronx,PIONEER TRANSPORTATION CO,8 minutes,20,Yes,No,No,11/12/15 8:09,,11/12/15 8:09,Running Late,School-Age
2015-2016,1229014,Pre-K/EI,730,6,Other,C465,11/12/15 8:08,11/12/15 8:09,Bronx,"G.V.C., LTD.",10MINUTES,6,Yes,Yes,No,11/12/15 8:09,,11/12/15 8:09,Running Late,Pre-K
2017-2018,1423738,Special Ed AM Run,1258,M888,Won`t Start,03973,3/23/18 9:18,3/23/18 9:21,Manhattan,"RELIANT TRANSPORTATION, INC (B2321)",16-30 Min,0,Yes,Yes,Yes,3/23/18 9:21,,1/1/00 0:00,Running Late,School-Age
2017-2018,1423739,Pre-K/EI,12519,3004A,Other,C912,3/23/18 6:00,3/23/18 9:28,Brooklyn,L & M BUS CORP.,31-45 Min,0,Yes,Yes,Yes,3/23/18 9:28,,3/23/18 9:32,Running Late,Pre-K
2015-2016,1214630,Special Ed AM Run,2590,L504,Mechanical Problem,14432,9/16/15 5:44,9/16/15 6:00,Bronx,"RELIANT TRANS, INC. (B232",,0,Yes,Yes,Yes,9/16/15 6:00,,9/16/15 6:00,Breakdown,School-Age
2015-2016,1215738,Special Ed AM Run,4549,M279,Heavy Traffic,02699,9/18/15 6:50,9/18/15 7:08,Manhattan,"RELIANT TRANS, INC. (B232",20 min,0,Yes,Yes,Yes,9/18/15 7:08,,9/18/15 7:08,Running Late,School-Age
2015-2016,1229015,Special Ed AM Run,1143,R003,Heavy Traffic,31435,11/12/15 8:00,11/12/15 8:10,Staten Island,PIONEER TRANSPORTATION CO,15MINS,0,Yes,No,No,11/12/15 8:10,,11/12/15 8:10,Running Late,School-Age
2015-2016,1229016,Special Ed AM Run,3124,M373,Heavy Traffic,02116,11/12/15 8:09,11/12/15 8:10,Manhattan,"RELIANT TRANS, INC. (B232",,7,Yes,Yes,Yes,11/12/15 8:10,,11/12/15 8:10,Running Late,School-Age
2015-2016,1229017,Special Ed AM Run,115,W686,Heavy Traffic,75420,11/12/15 8:06,11/12/15 8:11,Westchester,MAR-CAN TRANSPORT CO. INC,20 mins,5,Yes,Yes,No,11/12/15 8:11,,11/12/15 8:21,Running Late,School-Age
2015-2016,1229018,Special Ed AM Run,4561,M272,Mechanical Problem,02699,11/12/15 8:09,11/12/15 8:12,Manhattan,"RELIANT TRANS, INC. (B232",,5,Yes,Yes,Yes,11/12/15 8:12,,11/12/15 8:12,Breakdown,School-Age
2015-2016,1229020,Pre-K/EI,2327,WOC 1,Mechanical Problem,C455,11/12/15 8:05,11/12/15 8:15,Brooklyn,"THOMAS BUSES, INC.",25 MINS,3,Yes,Yes,Yes,11/12/15 8:15,,11/12/15 8:15,Running Late,Pre-K
2015-2016,1229021,Special Ed AM Run,74104,N866,Heavy Traffic,75907,11/12/15 8:08,11/12/15 8:15,Nassau County,VAN TRANS LLC (B2192),20 MINUTES,5,Yes,Yes,Yes,11/12/15 8:15,,11/12/15 8:15,Running Late,School-Age
2015-2016,1229023,Special Ed AM Run,2601,L524,Heavy Traffic,17246,11/12/15 8:14,11/12/15 8:17,Bronx,"RELIANT TRANS, INC. (B232",,6,Yes,No,Yes,11/12/15 8:17,,11/12/15 8:17,Running Late,School-Age
2015-2016,1229024,Special Ed AM Run,132,K527,Problem Run,"173,161,786,217,249",11/12/15 8:00,11/12/15 8:17,Brooklyn,Y & M TRANSIT CORP (B2192,20 mins,7,No,No,No,11/12/15 8:17,,11/12/15 8:17,Running Late,School-Age
2015-2016,1229026,General Ed AM Run,846,R1155,Heavy Traffic,31048,11/12/15 8:14,11/12/15 8:18,Staten Island,PIONEER TRANSPORTATION CO,10 MINS,0,Yes,No,No,11/12/15 8:18,,11/12/15 8:18,Running Late,School-Age
2015-2016,1229027,General Ed AM Run,414,R1153,Heavy Traffic,31007,11/12/15 8:10,11/12/15 8:21,Staten Island,PIONEER TRANSPORTATION CO,10MINS,0,Yes,No,No,11/12/15 8:21,,11/12/15 8:21,Running Late,School-Age
2015-2016,1229028,Special Ed AM Run,186,W655,Heavy Traffic,75912,11/12/15 8:24,11/12/15 8:21,Westchester,MAR-CAN TRANSPORT CO. INC,10/15MINS,5,Yes,No,No,11/12/15 8:21,,11/12/15 8:23,Running Late,School-Age
2015-2016,1229034,Special Ed AM Run,113,W994,Heavy Traffic,75955,11/12/15 8:24,11/12/15 8:34,Westchester,MAR-CAN TRANSPORT CO. INC,15 mins,2,Yes,Yes,No,11/12/15 8:34,,11/12/15 8:34,Running Late,School-Age
2015-2016,1229036,Special Ed AM Run,88,M589,Heavy Traffic,"2,007,025,150,256,800,000",11/12/15 8:28,11/12/15 8:37,Manhattan,CAREFUL BUS,60 MIN,5,Yes,No,No,11/12/15 8:37,,11/12/15 8:37,Running Late,School-Age
2015-2016,1229037,Pre-K/EI,GV0365,3,Heavy Traffic,C579,11/12/15 8:37,11/12/15 8:37,Bronx,"G.V.C., LTD.",10MIN,0,Yes,Yes,No,11/12/15 8:37,,11/12/15 8:37,Running Late,Pre-K
2015-2016,1229038,Special Ed AM Run,1188,M252,Heavy Traffic,04657,11/12/15 8:38,11/12/15 8:40,Manhattan,"RELIANT TRANS, INC. (B232",,4,Yes,Yes,Yes,11/12/15 8:40,,11/12/15 8:40,Running Late,School-Age
2015-2016,1229040,Special Ed Field Trip,5790D,Q675,Won`t Start,26481,11/12/15 8:40,11/12/15 8:42,Queens,LITTLE RICHIE BUS SERVICE,,0,Yes,Yes,No,11/12/15 8:42,,11/12/15 8:42,Breakdown,School-Age
2015-2016,1229041,Pre-K/EI,GV,7,Heavy Traffic,C579,11/12/15 8:40,11/12/15 8:43,Bronx,"G.V.C., LTD.",10min,0,Yes,Yes,No,11/12/15 8:43,,11/12/15 8:43,Running Late,Pre-K
2017-2018,1423741,Special Ed AM Run,1122,P156,Mechanical Problem,25802,3/23/18 9:18,3/23/18 9:35,,PRIDE TRANSPORTATION (SCH AGE),,0,Yes,Yes,Yes,3/23/18 9:35,,1/1/00 0:00,Breakdown,School-Age
2017-2018,1423745,Special Ed AM Run,7145,Q156,Heavy Traffic,24015,3/23/18 7:23,3/23/18 10:27,Queens,PRIDE TRANSPORTATION (SCH AGE),46-60 Min,3,Yes,Yes,Yes,3/23/18 10:27,,1/1/00 0:00,Running Late,School-Age
2015-2016,1229044,Special Ed AM Run,68,W615,Heavy Traffic,75404,11/12/15 8:48,11/12/15 8:48,Westchester,MAR-CAN TRANSPORT CO. INC,15 mins,3,Yes,No,No,11/12/15 8:48,,11/12/15 8:48,Running Late,School-Age
2015-2016,1229045,Special Ed AM Run,72,M948,Delayed by School,"210,402,347",11/12/15 8:45,11/12/15 8:52,Manhattan,CAREFUL BUS,60 MIN,4,Yes,No,No,11/12/15 8:52,,11/12/15 8:52,Running Late,School-Age
2015-2016,1229046,Pre-K/EI,136,2A,Heavy Traffic,C329,11/12/15 20:50,11/12/15 8:55,Bronx,"G.V.C., LTD.",20,1,Yes,Yes,No,11/12/15 8:55,,11/12/15 8:55,Running Late,Pre-K
2015-2016,1229048,Special Ed AM Run,NK 2097,W836,Heavy Traffic,75944,11/12/15 9:00,11/12/15 9:05,Westchester,"MONTAUK STUDENT TRANS, IN",15 mins,1,Yes,Yes,No,11/12/15 9:05,,11/12/15 9:05,Running Late,School-Age
2015-2016,1229049,Special Ed Field Trip,31377,K445,Mechanical Problem,23150,11/12/15 9:00,11/12/15 9:15,Brooklyn,"BORO TRANSIT, INC.",30 min,0,Yes,Yes,No,11/12/15 9:15,,11/12/15 9:15,Running Late,School-Age
2015-2016,1229050,Pre-K/EI,9007,3104BB,Heavy Traffic,C177,11/12/15 9:00,11/12/15 9:28,Brooklyn,L & M BUS CORP.,15 mins,0,Yes,No,Yes,11/12/15 9:28,,11/12/15 9:28,Running Late,Pre-K
2015-2016,1229051,General Ed Field Trip,9046,X2365,Heavy Traffic,07018,11/12/15 9:23,11/12/15 9:29,Bronx,PIONEER TRANSPORTATION CO,8 minutes,0,Yes,No,No,11/12/15 9:29,,11/12/15 9:29,Running Late,School-Age
2015-2016,1229052,General Ed Field Trip,1214,Q2504,Heavy Traffic,25765,11/12/15 9:15,11/12/15 9:30,Queens,LORISSA BUS SERVICE INC.,25min,0,Yes,No,Yes,11/12/15 9:30,,11/12/15 9:30,Running Late,School-Age
2015-2016,1229053,General Ed AM Run,2011,K1434,Mechanical Problem,14414,11/12/15 9:25,11/12/15 9:30,Brooklyn,ALLIED TRANSIT CORP.,,0,Yes,Yes,No,11/12/15 9:30,,11/12/15 9:30,Breakdown,School-Age
2015-2016,1229054,Pre-K/EI,3064,B0412B,Heavy Traffic,C009,11/12/15 9:15,11/12/15 9:35,Queens,I & Y TRANSIT CORP,20 mins,1,Yes,No,Yes,11/12/15 9:35,,11/12/15 9:35,Running Late,Pre-K
2015-2016,1229055,General Ed Field Trip,1214,Q2504,Flat Tire,"2,576,525,285",11/12/15 9:00,11/12/15 9:48,Queens,LORISSA BUS SERVICE INC.,25min,0,Yes,No,Yes,11/12/15 9:48,,11/12/15 9:48,Running Late,School-Age
2015-2016,1229056,General Ed PM Run,2480,Q9768,Late return from Field Trip,27727,11/12/15 12:59,11/12/15 13:16,Queens,"GRANDPA`S BUS CO., INC.",1hr,0,Yes,No,Yes,11/12/15 13:16,,11/12/15 15:24,Running Late,School-Age
2015-2016,1229057,Special Ed PM Run,9982,M053,Other,06173,11/12/15 13:22,11/12/15 13:23,Manhattan,HAPPY CHILD TRANS LLC (B2,60 min,2,Yes,Yes,No,11/12/15 13:23,,11/12/15 13:23,Running Late,School-Age
2015-2016,1229061,Special Ed AM Run,17240,X404,Heavy Traffic,07458,11/12/15 1:40,11/12/15 13:43,Bronx,PRIDE TRANSPORTATION (SCH,20min,0,Yes,Yes,Yes,11/12/15 13:43,,11/12/15 13:43,Running Late,School-Age
2015-2016,1229063,Special Ed PM Run,610,P870,Other,30145,11/12/15 13:42,11/12/15 13:43,Queens,HAPPY CHILD TRANS LLC (B2,,0,Yes,No,No,11/12/15 13:43,,11/12/15 13:43,Running Late,School-Age
